date,bid,offer,price
2020-01-02,32.08,32.08,32.08
2020-01-03,31.95,31.95,31.95
2020-01-06,31.62,31.62,31.62
2020-01-07,31.89,31.89,31.89
2020-01-08,31.73,31.73,31.73
2020-01-09,32.25,32.25,32.25
2020-01-10,32.44,32.44,32.44
2020-01-13,32.61,32.61,32.61
2020-01-14,32.82,32.82,32.82
2020-01-15,32.65,32.65,32.65
2020-01-16,32.78,32.78,32.78
2020-01-17,32.79,32.79,32.79
2020-01-20,32.79,32.79,32.79
2020-01-21,32.15,32.15,32.15
2020-01-22,32.43,32.43,32.43
2020-01-23,32.03,32.03,32.03
2020-01-24,32.0,32.0,32.0
2020-01-29,31.15,31.15,31.15
2020-01-30,30.27,30.27,30.27
2020-01-31,30.14,30.14,30.14
2020-02-03,29.87,29.87,29.87
2020-02-04,30.57,30.57,30.57
2020-02-05,30.67,30.67,30.67
2020-02-06,31.21,31.21,31.21
2020-02-07,31.02,31.02,31.02
2020-02-10,30.77,30.77,30.77
2020-02-11,31.17,31.17,31.17
2020-02-12,31.47,31.47,31.47
2020-02-13,31.47,31.47,31.47
2020-02-14,31.57,31.57,31.57
2020-02-17,31.51,31.51,31.51
2020-02-18,31.05,31.05,31.05
2020-02-19,31.29,31.29,31.29
2020-02-20,31.22,31.22,31.22
2020-02-21,30.96,30.96,30.96
2020-02-24,30.02,30.02,30.02
2020-02-25,30.08,30.08,30.08
2020-02-26,29.58,29.58,29.58
2020-02-27,29.41,29.41,29.41
2020-02-28,28.55,28.55,28.55
2020-03-02,28.76,28.76,28.76
2020-03-03,28.95,28.95,28.95
2020-03-04,29.13,29.13,29.13
2020-03-05,29.56,29.56,29.56
2020-03-06,28.74,28.74,28.74
2020-03-09,27.1,27.1,27.1
2020-03-10,27.4,27.4,27.4
2020-03-11,26.86,26.86,26.86
2020-03-12,25.13,25.13,25.13
2020-03-13,24.99,24.99,24.99
2020-03-16,23.53,23.53,23.53
2020-03-17,23.36,23.36,23.36
2020-03-18,22.24,22.24,22.24
2020-03-19,21.18,21.18,21.18
2020-03-20,22.37,22.37,22.37
2020-03-23,20.92,20.92,20.92
2020-03-24,22.14,22.14,22.14
2020-03-25,23.23,23.23,23.23
2020-03-26,23.58,23.58,23.58
2020-03-27,23.52,23.52,23.52
2020-03-30,23.38,23.38,23.38
2020-03-31,23.73,23.73,23.73
2020-04-01,23.46,23.46,23.46
2020-04-02,23.52,23.52,23.52
2020-04-03,23.37,23.37,23.37
2020-04-06,23.97,23.97,23.97
2020-04-07,24.64,24.64,24.64
2020-04-08,24.53,24.53,24.53
2020-04-09,25.01,25.01,25.01
2020-04-14,25.41,25.41,25.41
2020-04-15,25.28,25.28,25.28
2020-04-16,25.13,25.13,25.13
2020-04-17,25.77,25.77,25.77
2020-04-20,25.64,25.64,25.64
2020-04-21,25.0,25.0,25.0
2020-04-22,25.16,25.16,25.16
2020-04-23,25.27,25.27,25.27
2020-04-24,25.06,25.06,25.06
2020-04-27,25.55,25.55,25.55
2020-04-28,25.63,25.63,25.63
2020-04-29,26.05,26.05,26.05
2020-05-04,25.29,25.29,25.29
2020-05-05,25.47,25.47,25.47
2020-05-06,25.68,25.68,25.68
2020-05-07,25.63,25.63,25.63
2020-05-08,26.07,26.07,26.07
2020-05-11,26.33,26.33,26.33
2020-05-12,26.17,26.17,26.17
2020-05-13,26.23,26.23,26.23
2020-05-14,25.83,25.83,25.83
2020-05-15,25.87,25.87,25.87
2020-05-18,25.93,25.93,25.93
2020-05-19,26.5,26.5,26.5
2020-05-20,26.61,26.61,26.61
2020-05-21,26.58,26.58,26.58
2020-05-22,25.75,25.75,25.75
2020-05-25,25.93,25.93,25.93
2020-05-26,26.46,26.46,26.46
2020-05-27,26.43,26.43,26.43
2020-05-28,26.44,26.44,26.44
2020-05-29,26.54,26.54,26.54
2020-06-01,27.26,27.26,27.26
2020-06-02,27.67,27.67,27.67
2020-06-03,28.35,28.35,28.35
2020-06-04,28.53,28.53,28.53
2020-06-05,28.88,28.88,28.88
2020-06-08,28.96,28.96,28.96
2020-06-09,29.3,29.3,29.3
2020-06-10,29.41,29.41,29.41
2020-06-11,28.62,28.62,28.62
2020-06-12,28.28,28.28,28.28
2020-06-15,27.63,27.63,27.63
2020-06-16,28.46,28.46,28.46
2020-06-17,28.66,28.66,28.66
2020-06-18,28.71,28.71,28.71
2020-06-19,28.91,28.91,28.91
2020-06-22,29.09,29.09,29.09
2020-06-23,29.36,29.36,29.36
2020-06-24,29.29,29.29,29.29
2020-06-26,29.0,29.0,29.0
2020-06-29,28.67,28.67,28.67
2020-06-30,28.82,28.82,28.82
2020-07-02,29.79,29.79,29.79
2020-07-03,30.07,30.07,30.07
2020-07-06,30.83,30.83,30.83
2020-07-07,30.67,30.67,30.67
2020-07-08,31.02,31.02,31.02
2020-07-09,31.27,31.27,31.27
2020-07-10,30.75,30.75,30.75
2020-07-13,30.94,30.94,30.94
2020-07-14,30.63,30.63,30.63
2020-07-15,30.92,30.92,30.92
2020-07-16,30.33,30.33,30.33
2020-07-17,30.57,30.57,30.57
2020-07-20,30.68,30.68,30.68
2020-07-21,31.52,31.52,31.52
2020-07-22,31.19,31.19,31.19
2020-07-23,31.22,31.22,31.22
2020-07-24,30.7,30.7,30.7
2020-07-27,31.1,31.1,31.1
2020-07-28,31.43,31.43,31.43
2020-07-29,31.44,31.44,31.44
2020-07-30,31.54,31.54,31.54
2020-07-31,31.39,31.39,31.39
2020-08-03,31.32,31.32,31.32
2020-08-04,31.89,31.89,31.89
2020-08-05,32.19,32.19,32.19
2020-08-06,32.35,32.35,32.35
2020-08-07,31.83,31.83,31.83
2020-08-10,31.8,31.8,31.8
2020-08-11,31.97,31.97,31.97
2020-08-12,32.06,32.06,32.06
2020-08-13,32.15,32.15,32.15
2020-08-14,32.03,32.03,32.03
2020-08-17,32.22,32.22,32.22
2020-08-18,32.27,32.27,32.27
2020-08-19,32.15,32.15,32.15
2020-08-20,31.49,31.49,31.49
2020-08-21,31.83,31.83,31.83
2020-08-24,32.25,32.25,32.25
2020-08-25,32.43,32.43,32.43
2020-08-26,32.57,32.57,32.57
2020-08-27,32.66,32.66,32.66
2020-08-28,32.68,32.68,32.68
2020-08-31,32.15,32.15,32.15
2020-09-01,32.38,32.38,32.38
2020-09-02,32.5,32.5,32.5
2020-09-03,32.48,32.48,32.48
2020-09-04,31.91,31.91,31.91
2020-09-07,31.9,31.9,31.9
2020-09-08,31.94,31.94,31.94
2020-09-09,31.67,31.67,31.67
2020-09-10,31.7,31.7,31.7
2020-09-11,31.83,31.83,31.83
2020-09-14,32.26,32.26,32.26
2020-09-15,32.42,32.42,32.42
2020-09-16,32.68,32.68,32.68
2020-09-17,32.27,32.27,32.27
2020-09-18,32.52,32.52,32.52
2020-09-21,31.95,31.95,31.95
2020-09-22,31.54,31.54,31.54
2020-09-23,31.61,31.61,31.61
2020-09-24,30.97,30.97,30.97
2020-09-25,31.11,31.11,31.11
2020-09-28,31.43,31.43,31.43
2020-09-29,31.45,31.45,31.45
2020-09-30,31.51,31.51,31.51
2020-10-05,32.06,32.06,32.06
2020-10-06,32.2,32.2,32.2
2020-10-07,32.48,32.48,32.48
2020-10-08,32.82,32.82,32.82
2020-10-09,32.85,32.85,32.85
2020-10-12,33.23,33.23,33.23
2020-10-14,33.24,33.24,33.24
2020-10-15,32.82,32.82,32.82
2020-10-16,32.9,32.9,32.9
2020-10-19,33.14,33.14,33.14
2020-10-20,33.21,33.21,33.21
2020-10-21,33.45,33.45,33.45
2020-10-22,33.35,33.35,33.35
2020-10-23,33.36,33.36,33.36
2020-10-27,33.31,33.31,33.31
2020-10-28,33.13,33.13,33.13
2020-10-29,32.85,32.85,32.85
2020-10-30,32.4,32.4,32.4
2020-11-02,32.55,32.55,32.55
2020-11-03,33.15,33.15,33.15
2020-11-04,33.18,33.18,33.18
2020-11-05,34.21,34.21,34.21
2020-11-06,34.23,34.23,34.23
2020-11-09,34.56,34.56,34.56
2020-11-10,34.51,34.51,34.51
2020-11-11,34.59,34.59,34.59
2020-11-12,34.66,34.66,34.66
2020-11-13,34.94,34.94,34.94
2020-11-16,35.51,35.51,35.51
2020-11-17,35.52,35.52,35.52
2020-11-18,35.8,35.8,35.8
2020-11-19,35.52,35.52,35.52
2020-11-20,35.74,35.74,35.74
2020-11-23,36.1,36.1,36.1
2020-11-24,36.28,36.28,36.28
2020-11-25,36.04,36.04,36.04
2020-11-26,36.36,36.36,36.36
2020-11-27,36.42,36.42,36.42
2020-11-30,35.77,35.77,35.77
2020-12-01,36.26,36.26,36.26
2020-12-02,36.73,36.73,36.73
2020-12-03,37.08,37.08,37.08
2020-12-04,37.61,37.61,37.61
2020-12-07,37.83,37.83,37.83
2020-12-08,37.76,37.76,37.76
2020-12-09,38.21,38.21,38.21
2020-12-10,37.87,37.87,37.87
2020-12-11,37.92,37.92,37.92
2020-12-14,37.81,37.81,37.81
2020-12-15,37.57,37.57,37.57
2020-12-16,37.95,37.95,37.95
2020-12-17,38.19,38.19,38.19
2020-12-18,38.04,38.04,38.04
2020-12-21,37.68,37.68,37.68
2020-12-22,37.33,37.33,37.33
2020-12-23,37.71,37.71,37.71
2020-12-24,37.89,37.89,37.89
2020-12-28,37.8,37.8,37.8
2020-12-29,38.06,38.06,38.06
2020-12-30,38.79,38.79,38.79
2020-12-31,38.84,38.84,38.84
2021-01-04,39.46,39.46,39.46
2021-01-05,39.72,39.72,39.72
2021-01-06,39.76,39.76,39.76
2021-01-07,40.01,40.01,40.01
2021-01-08,40.86,40.86,40.86
2021-01-11,40.65,40.65,40.65
2021-01-12,40.93,40.93,40.93
2021-01-13,41.31,41.31,41.31
2021-01-14,41.37,41.37,41.37
2021-01-15,41.19,41.19,41.19
2021-01-18,41.03,41.03,41.03
2021-01-19,42.13,42.13,42.13
2021-01-20,42.6,42.6,42.6
2021-01-21,42.93,42.93,42.93
2021-01-22,42.35,42.35,42.35
2021-01-25,43.0,43.0,43.0
2021-01-26,42.03,42.03,42.03
2021-01-27,41.78,41.78,41.78
2021-01-28,40.96,40.96,40.96
2021-01-29,40.52,40.52,40.52
2021-02-01,41.68,41.68,41.68
2021-02-02,42.45,42.45,42.45
2021-02-03,42.74,42.74,42.74
2021-02-04,42.61,42.61,42.61
2021-02-05,42.89,42.89,42.89
2021-02-08,43.19,43.19,43.19
2021-02-09,43.17,43.17,43.17
2021-02-10,43.58,43.58,43.58
2021-02-11,43.61,43.61,43.61
2021-02-16,44.3,44.3,44.3
2021-02-17,44.38,44.38,44.38
2021-02-18,43.94,43.94,43.94
2021-02-19,43.98,43.98,43.98
2021-02-22,43.27,43.27,43.27
2021-02-23,43.51,43.51,43.51
2021-02-24,42.94,42.94,42.94
2021-02-25,43.67,43.67,43.67
2021-02-26,41.79,41.79,41.79
2021-03-01,42.57,42.57,42.57
2021-03-02,42.65,42.65,42.65
2021-03-03,43.53,43.53,43.53
2021-03-04,42.5,42.5,42.5
2021-03-05,41.98,41.98,41.98
2021-03-08,41.36,41.36,41.36
2021-03-09,41.57,41.57,41.57
2021-03-10,41.64,41.64,41.64
2021-03-11,42.49,42.49,42.49
2021-03-12,42.25,42.25,42.25
2021-03-15,41.97,41.97,41.97
2021-03-16,42.29,42.29,42.29
2021-03-17,42.05,42.05,42.05
2021-03-18,42.36,42.36,42.36
2021-03-19,41.96,41.96,41.96
2021-03-22,42.03,42.03,42.03
2021-03-23,41.72,41.72,41.72
2021-03-24,40.68,40.68,40.68
2021-03-25,40.51,40.51,40.51
2021-03-26,41.0,41.0,41.0
2021-03-29,40.81,40.81,40.81
2021-03-30,41.03,41.03,41.03
2021-03-31,40.92,40.92,40.92
2021-04-01,41.94,41.94,41.94
2021-04-07,42.16,42.16,42.16
2021-04-08,42.26,42.26,42.26
2021-04-09,41.99,41.99,41.99
2021-04-12,41.13,41.13,41.13
2021-04-13,41.36,41.36,41.36
2021-04-14,41.6,41.6,41.6
2021-04-15,41.79,41.79,41.79
2021-04-16,42.07,42.07,42.07
2021-04-19,41.91,41.91,41.91
2021-04-20,41.79,41.79,41.79
2021-04-21,41.33,41.33,41.33
2021-04-22,41.55,41.55,41.55
2021-04-23,41.9,41.9,41.9
2021-04-26,42.23,42.23,42.23
2021-04-27,42.32,42.32,42.32
2021-04-28,42.16,42.16,42.16
2021-04-29,42.28,42.28,42.28
2021-04-30,41.67,41.67,41.67
2021-05-03,41.36,41.36,41.36
2021-05-04,41.35,41.35,41.35
2021-05-05,41.3,41.3,41.3
2021-05-06,41.35,41.35,41.35
2021-05-07,41.64,41.64,41.64
2021-05-10,41.66,41.66,41.66
2021-05-11,40.75,40.75,40.75
2021-05-12,40.53,40.53,40.53
2021-05-13,39.83,39.83,39.83
2021-05-14,40.11,40.11,40.11
2021-05-17,40.29,40.29,40.29
2021-05-18,41.08,41.08,41.08
2021-05-20,41.03,41.03,41.03
2021-05-21,41.2,41.2,41.2
2021-05-24,41.19,41.19,41.19
2021-05-25,41.83,41.83,41.83
2021-05-26,42.01,42.01,42.01
2021-05-27,42.05,42.05,42.05
2021-05-28,42.13,42.13,42.13
2021-05-31,42.56,42.56,42.56
2021-06-01,42.97,42.97,42.97
2021-06-02,42.83,42.83,42.83
2021-06-03,42.75,42.75,42.75
2021-06-04,42.71,42.71,42.71
2021-06-07,42.71,42.71,42.71
2021-06-08,42.77,42.77,42.77
2021-06-09,42.55,42.55,42.55
2021-06-10,42.96,42.96,42.96
2021-06-11,43.19,43.19,43.19
2021-06-15,43.2,43.2,43.2
2021-06-16,43.0,43.0,43.0
2021-06-17,42.6,42.6,42.6
2021-06-18,42.5,42.5,42.5
2021-06-21,41.91,41.91,41.91
2021-06-22,41.72,41.72,41.72
2021-06-23,42.09,42.09,42.09
2021-06-24,42.26,42.26,42.26
2021-06-25,42.76,42.76,42.76
2021-06-28,42.82,42.82,42.82
2021-06-29,42.63,42.63,42.63
2021-06-30,42.58,42.58,42.58
2021-07-02,42.08,42.08,42.08
2021-07-05,42.05,42.05,42.05
2021-07-06,41.95,41.95,41.95
2021-07-07,41.83,41.83,41.83
2021-07-08,41.12,41.12,41.12
2021-07-09,41.09,41.09,41.09
2021-07-12,41.3,41.3,41.3
2021-07-13,41.89,41.89,41.89
2021-07-14,41.81,41.81,41.81
2021-07-15,42.04,42.04,42.04
2021-07-16,41.95,41.95,41.95
2021-07-19,41.23,41.23,41.23
2021-07-20,40.89,40.89,40.89
2021-07-21,40.9,40.9,40.9
2021-07-22,41.45,41.45,41.45
2021-07-23,40.98,40.98,40.98
2021-07-26,40.13,40.13,40.13
2021-07-27,39.14,39.14,39.14
2021-07-28,39.04,39.04,39.04
2021-07-29,40.06,40.06,40.06
2021-07-30,39.51,39.51,39.51
2021-08-02,40.09,40.09,40.09
2021-08-03,40.12,40.12,40.12
2021-08-04,40.39,40.39,40.39
2021-08-05,40.33,40.33,40.33
2021-08-06,40.32,40.32,40.32
2021-08-09,40.33,40.33,40.33
2021-08-10,40.21,40.21,40.21
2021-08-11,39.9,39.9,39.9
2021-08-12,39.64,39.64,39.64
2021-08-13,39.25,39.25,39.25
2021-08-16,38.95,38.95,38.95
2021-08-17,38.36,38.36,38.36
2021-08-18,38.55,38.55,38.55
2021-08-19,37.89,37.89,37.89
2021-08-20,37.31,37.31,37.31
2021-08-23,37.74,37.74,37.74
2021-08-24,38.61,38.61,38.61
2021-08-25,38.8,38.8,38.8
