date,bid,offer,price
2020-01-02,12.56,12.56,12.56
2020-01-03,12.58,12.58,12.58
2020-01-06,12.57,12.57,12.57
2020-01-07,12.56,12.56,12.56
2020-01-08,12.54,12.54,12.54
2020-01-09,12.56,12.56,12.56
2020-01-10,12.58,12.58,12.58
2020-01-13,12.58,12.58,12.58
2020-01-14,12.59,12.59,12.59
2020-01-15,12.61,12.61,12.61
2020-01-16,12.62,12.62,12.62
2020-01-17,12.63,12.63,12.63
2020-01-20,12.63,12.63,12.63
2020-01-21,12.64,12.64,12.64
2020-01-22,12.65,12.65,12.65
2020-01-23,12.67,12.67,12.67
2020-01-24,12.67,12.67,12.67
2020-01-29,12.7,12.7,12.7
2020-01-30,12.68,12.68,12.68
2020-01-31,12.67,12.67,12.67
2020-02-03,12.68,12.68,12.68
2020-02-04,12.68,12.68,12.68
2020-02-05,12.68,12.68,12.68
2020-02-06,12.71,12.71,12.71
2020-02-07,12.72,12.72,12.72
2020-02-10,12.74,12.74,12.74
2020-02-11,12.74,12.74,12.74
2020-02-12,12.75,12.75,12.75
2020-02-13,12.74,12.74,12.74
2020-02-14,12.75,12.75,12.75
2020-02-17,12.76,12.76,12.76
2020-02-18,12.75,12.75,12.75
2020-02-19,12.77,12.77,12.77
2020-02-20,12.79,12.79,12.79
2020-02-21,12.79,12.79,12.79
2020-02-24,12.74,12.74,12.74
2020-02-25,12.7,12.7,12.7
2020-02-26,12.68,12.68,12.68
2020-02-27,12.63,12.63,12.63
2020-02-28,12.64,12.64,12.64
2020-03-02,12.7,12.7,12.7
2020-03-03,12.73,12.73,12.73
2020-03-04,12.79,12.79,12.79
2020-03-05,12.78,12.78,12.78
2020-03-06,12.81,12.81,12.81
2020-03-09,12.73,12.73,12.73
2020-03-10,12.66,12.66,12.66
2020-03-11,12.53,12.53,12.53
2020-03-12,12.25,12.25,12.25
2020-03-13,12.24,12.24,12.24
2020-03-16,12.07,12.07,12.07
2020-03-17,11.98,11.98,11.98
2020-03-18,11.76,11.76,11.76
2020-03-19,11.81,11.81,11.81
2020-03-20,11.92,11.92,11.92
2020-03-23,11.87,11.87,11.87
2020-03-24,12.02,12.02,12.02
2020-03-25,12.08,12.08,12.08
2020-03-26,12.25,12.25,12.25
2020-03-27,12.26,12.26,12.26
2020-03-30,12.3,12.3,12.3
2020-03-31,12.29,12.29,12.29
2020-04-01,12.22,12.22,12.22
2020-04-02,12.23,12.23,12.23
2020-04-03,12.19,12.19,12.19
2020-04-06,12.31,12.31,12.31
2020-04-07,12.31,12.31,12.31
2020-04-08,12.35,12.35,12.35
2020-04-09,12.43,12.43,12.43
2020-04-14,12.47,12.47,12.47
2020-04-15,12.43,12.43,12.43
2020-04-16,12.45,12.45,12.45
2020-04-17,12.52,12.52,12.52
2020-04-20,12.5,12.5,12.5
2020-04-21,12.42,12.42,12.42
2020-04-22,12.43,12.43,12.43
2020-04-23,12.46,12.46,12.46
2020-04-24,12.49,12.49,12.49
2020-04-27,12.53,12.53,12.53
2020-04-28,12.55,12.55,12.55
2020-04-29,12.63,12.63,12.63
2020-05-04,12.53,12.53,12.53
2020-05-05,12.54,12.54,12.54
2020-05-06,12.5,12.5,12.5
2020-05-07,12.55,12.55,12.55
2020-05-08,12.62,12.62,12.62
2020-05-11,12.6,12.6,12.6
2020-05-12,12.58,12.58,12.58
2020-05-13,12.55,12.55,12.55
2020-05-14,12.56,12.56,12.56
2020-05-15,12.54,12.54,12.54
2020-05-18,12.61,12.61,12.61
2020-05-19,12.61,12.61,12.61
2020-05-20,12.66,12.66,12.66
2020-05-21,12.66,12.66,12.66
2020-05-22,12.65,12.65,12.65
2020-05-25,12.67,12.67,12.67
2020-05-26,12.69,12.69,12.69
2020-05-27,12.71,12.71,12.71
2020-05-28,12.73,12.73,12.73
2020-05-29,12.77,12.77,12.77
2020-06-01,12.78,12.78,12.78
2020-06-02,12.81,12.81,12.81
2020-06-03,12.82,12.82,12.82
2020-06-04,12.79,12.79,12.79
2020-06-05,12.83,12.83,12.83
2020-06-08,12.88,12.88,12.88
2020-06-09,12.88,12.88,12.88
2020-06-10,12.89,12.89,12.89
2020-06-11,12.81,12.81,12.81
2020-06-12,12.79,12.79,12.79
2020-06-15,12.79,12.79,12.79
2020-06-16,12.84,12.84,12.84
2020-06-17,12.85,12.85,12.85
2020-06-18,12.85,12.85,12.85
2020-06-19,12.85,12.85,12.85
2020-06-22,12.87,12.87,12.87
2020-06-23,12.89,12.89,12.89
2020-06-24,12.84,12.84,12.84
2020-06-26,12.83,12.83,12.83
2020-06-29,12.85,12.85,12.85
2020-06-30,12.89,12.89,12.89
2020-07-02,12.91,12.91,12.91
2020-07-03,12.92,12.92,12.92
2020-07-06,12.97,12.97,12.97
2020-07-07,12.96,12.96,12.96
2020-07-08,12.97,12.97,12.97
2020-07-09,12.98,12.98,12.98
2020-07-10,12.99,12.99,12.99
2020-07-13,12.98,12.98,12.98
2020-07-14,13.01,13.01,13.01
2020-07-15,13.05,13.05,13.05
2020-07-16,13.04,13.04,13.04
2020-07-17,13.04,13.04,13.04
2020-07-20,13.08,13.08,13.08
2020-07-21,13.11,13.11,13.11
2020-07-22,13.13,13.13,13.13
2020-07-23,13.12,13.12,13.12
2020-07-24,13.08,13.08,13.08
2020-07-27,13.12,13.12,13.12
2020-07-28,13.12,13.12,13.12
2020-07-29,13.14,13.14,13.14
2020-07-30,13.14,13.14,13.14
2020-07-31,13.15,13.15,13.15
2020-08-03,13.17,13.17,13.17
2020-08-04,13.2,13.2,13.2
2020-08-05,13.22,13.22,13.22
2020-08-06,13.23,13.23,13.23
2020-08-07,13.21,13.21,13.21
2020-08-10,13.21,13.21,13.21
2020-08-11,13.18,13.18,13.18
2020-08-12,13.2,13.2,13.2
2020-08-13,13.18,13.18,13.18
2020-08-14,13.17,13.17,13.17
2020-08-17,13.21,13.21,13.21
2020-08-18,13.22,13.22,13.22
2020-08-19,13.21,13.21,13.21
2020-08-20,13.2,13.2,13.2
2020-08-21,13.22,13.22,13.22
2020-08-24,13.25,13.25,13.25
2020-08-25,13.23,13.23,13.23
2020-08-26,13.25,13.25,13.25
2020-08-27,13.22,13.22,13.22
2020-08-28,13.24,13.24,13.24
2020-08-31,13.26,13.26,13.26
2020-09-01,13.29,13.29,13.29
2020-09-02,13.33,13.33,13.33
2020-09-03,13.27,13.27,13.27
2020-09-04,13.2,13.2,13.2
2020-09-07,13.21,13.21,13.21
2020-09-08,13.17,13.17,13.17
2020-09-09,13.2,13.2,13.2
2020-09-10,13.18,13.18,13.18
2020-09-11,13.19,13.19,13.19
2020-09-14,13.23,13.23,13.23
2020-09-15,13.24,13.24,13.24
2020-09-16,13.24,13.24,13.24
2020-09-17,13.22,13.22,13.22
2020-09-18,13.2,13.2,13.2
2020-09-21,13.17,13.17,13.17
2020-09-22,13.17,13.17,13.17
2020-09-23,13.13,13.13,13.13
2020-09-24,13.12,13.12,13.12
2020-09-25,13.15,13.15,13.15
2020-09-28,13.19,13.19,13.19
2020-09-29,13.2,13.2,13.2
2020-09-30,13.19,13.19,13.19
2020-10-05,13.2,13.2,13.2
2020-10-06,13.2,13.2,13.2
2020-10-07,13.21,13.21,13.21
2020-10-08,13.24,13.24,13.24
2020-10-09,13.28,13.28,13.28
2020-10-12,13.32,13.32,13.32
2020-10-14,13.33,13.33,13.33
2020-10-15,13.3,13.3,13.3
2020-10-16,13.31,13.31,13.31
2020-10-19,13.27,13.27,13.27
2020-10-20,13.27,13.27,13.27
2020-10-21,13.25,13.25,13.25
2020-10-22,13.23,13.23,13.23
2020-10-23,13.25,13.25,13.25
2020-10-27,13.23,13.23,13.23
2020-10-28,13.14,13.14,13.14
2020-10-29,13.15,13.15,13.15
2020-10-30,13.1,13.1,13.1
2020-11-02,13.14,13.14,13.14
2020-11-03,13.19,13.19,13.19
2020-11-04,13.29,13.29,13.29
2020-11-05,13.37,13.37,13.37
2020-11-06,13.36,13.36,13.36
2020-11-09,13.34,13.34,13.34
2020-11-10,13.31,13.31,13.31
2020-11-11,13.34,13.34,13.34
2020-11-12,13.36,13.36,13.36
2020-11-13,13.39,13.39,13.39
2020-11-16,13.42,13.42,13.42
2020-11-17,13.44,13.44,13.44
2020-11-18,13.42,13.42,13.42
2020-11-19,13.43,13.43,13.43
2020-11-20,13.44,13.44,13.44
2020-11-23,13.44,13.44,13.44
2020-11-24,13.47,13.47,13.47
2020-11-25,13.48,13.48,13.48
2020-11-26,13.49,13.49,13.49
2020-11-27,13.52,13.52,13.52
