date,bid,offer,price
2020-01-02,19.83,19.83,19.83
2020-01-03,19.74,19.74,19.74
2020-01-06,19.74,19.74,19.74
2020-01-07,19.75,19.75,19.75
2020-01-08,19.75,19.75,19.75
2020-01-09,19.82,19.82,19.82
2020-01-10,19.83,19.83,19.83
2020-01-13,19.88,19.88,19.88
2020-01-14,19.91,19.91,19.91
2020-01-15,19.92,19.92,19.92
2020-01-16,19.98,19.98,19.98
2020-01-17,20.03,20.03,20.03
2020-01-20,20.04,20.04,20.04
2020-01-21,20.01,20.01,20.01
2020-01-22,20.03,20.03,20.03
2020-01-23,20.01,20.01,20.01
2020-01-24,19.98,19.98,19.98
2020-01-29,19.87,19.87,19.87
2020-01-30,19.8,19.8,19.8
2020-01-31,19.66,19.66,19.66
2020-02-03,19.7,19.7,19.7
2020-02-04,19.85,19.85,19.85
2020-02-05,19.96,19.96,19.96
2020-02-06,20.04,20.04,20.04
2020-02-07,19.98,19.98,19.98
2020-02-10,20.02,20.02,20.02
2020-02-11,20.07,20.07,20.07
2020-02-12,20.14,20.14,20.14
2020-02-13,20.11,20.11,20.11
2020-02-14,20.12,20.12,20.12
2020-02-17,20.16,20.16,20.16
2020-02-18,20.06,20.06,20.06
2020-02-19,20.14,20.14,20.14
2020-02-20,20.11,20.11,20.11
2020-02-21,20.03,20.03,20.03
2020-02-24,19.7,19.7,19.7
2020-02-25,19.43,19.43,19.43
2020-02-26,19.37,19.37,19.37
2020-02-27,19.01,19.01,19.01
2020-02-28,18.88,18.88,18.88
2020-03-02,19.18,19.18,19.18
2020-03-03,19.05,19.05,19.05
2020-03-04,19.37,19.37,19.37
2020-03-05,19.14,19.14,19.14
2020-03-06,18.96,18.96,18.96
2020-03-09,18.24,18.24,18.24
2020-03-10,18.43,18.43,18.43
2020-03-11,18.0,18.0,18.0
2020-03-12,16.98,16.98,16.98
2020-03-13,17.35,17.35,17.35
2020-03-16,16.47,16.47,16.47
2020-03-17,16.65,16.65,16.65
2020-03-18,16.1,16.1,16.1
2020-03-19,16.13,16.13,16.13
2020-03-20,16.08,16.08,16.08
2020-03-23,15.78,15.78,15.78
2020-03-24,16.53,16.53,16.53
2020-03-25,16.79,16.79,16.79
2020-03-26,17.3,17.3,17.3
2020-03-27,17.1,17.1,17.1
2020-03-30,17.32,17.32,17.32
2020-03-31,17.27,17.27,17.27
2020-04-01,16.88,16.88,16.88
2020-04-02,16.98,16.98,16.98
2020-04-03,16.82,16.82,16.82
2020-04-06,17.39,17.39,17.39
2020-04-07,17.49,17.49,17.49
2020-04-08,17.7,17.7,17.7
2020-04-09,17.88,17.88,17.88
2020-04-14,18.08,18.08,18.08
2020-04-15,17.82,17.82,17.82
2020-04-16,17.86,17.86,17.86
2020-04-17,18.15,18.15,18.15
