date,bid,offer,price
2020-01-02,16.33,16.33,16.33
2020-01-03,16.25,16.25,16.25
2020-01-06,16.21,16.21,16.21
2020-01-07,16.35,16.35,16.35
2020-01-08,16.19,16.19,16.19
2020-01-09,16.72,16.72,16.72
2020-01-10,16.57,16.57,16.57
2020-01-13,16.78,16.78,16.78
2020-01-14,16.74,16.74,16.74
2020-01-15,16.71,16.71,16.71
2020-01-16,16.77,16.77,16.77
2020-01-17,16.86,16.86,16.86
2020-01-20,16.73,16.73,16.73
2020-01-21,16.2,16.2,16.2
2020-01-22,16.51,16.51,16.51
2020-01-23,15.94,15.94,15.94
2020-01-24,16.09,16.09,16.09
2020-01-29,15.54,15.54,15.54
2020-01-30,15.1,15.1,15.1
2020-01-31,15.03,15.03,15.03
2020-02-03,15.05,15.05,15.05
2020-02-04,15.54,15.54,15.54
2020-02-05,15.61,15.61,15.61
2020-02-06,15.93,15.93,15.93
2020-02-07,15.86,15.86,15.86
2020-02-10,15.73,15.73,15.73
2020-02-11,15.97,15.97,15.97
2020-02-12,16.17,16.17,16.17
2020-02-13,16.14,16.14,16.14
2020-02-14,16.15,16.15,16.15
2020-02-17,16.31,16.31,16.31
2020-02-18,16.11,16.11,16.11
2020-02-19,16.27,16.27,16.27
2020-02-20,16.3,16.3,16.3
2020-02-21,16.15,16.15,16.15
2020-02-24,15.87,15.87,15.87
2020-02-25,15.9,15.9,15.9
2020-02-26,15.75,15.75,15.75
2020-02-27,15.81,15.81,15.81
2020-02-28,15.38,15.38,15.38
2020-03-02,15.65,15.65,15.65
2020-03-03,15.63,15.63,15.63
2020-03-04,15.71,15.71,15.71
2020-03-05,16.04,16.04,16.04
2020-03-06,15.7,15.7,15.7
2020-03-09,15.0,15.0,15.0
2020-03-10,15.22,15.22,15.22
2020-03-11,15.07,15.07,15.07
2020-03-12,14.48,14.48,14.48
2020-03-13,14.49,14.49,14.49
2020-03-16,13.66,13.66,13.66
2020-03-17,13.66,13.66,13.66
2020-03-18,13.07,13.07,13.07
2020-03-19,12.76,12.76,12.76
2020-03-20,13.45,13.45,13.45
2020-03-23,12.88,12.88,12.88
2020-03-24,13.56,13.56,13.56
2020-03-25,14.07,14.07,14.07
2020-03-26,14.0,14.0,14.0
2020-03-27,14.0,14.0,14.0
2020-03-30,13.81,13.81,13.81
2020-03-31,14.11,14.11,14.11
2020-04-01,13.9,13.9,13.9
