date,bid,offer,price
2020-01-02,12.79,12.79,12.79
2020-01-03,12.79,12.79,12.79
2020-01-06,12.79,12.79,12.79
2020-01-07,12.79,12.79,12.79
2020-01-08,12.79,12.79,12.79
2020-01-09,12.79,12.79,12.79
2020-01-10,12.79,12.79,12.79
2020-01-13,12.79,12.79,12.79
2020-01-14,12.79,12.79,12.79
2020-01-15,12.79,12.79,12.79
2020-01-16,12.79,12.79,12.79
2020-01-17,12.79,12.79,12.79
2020-01-20,12.79,12.79,12.79
2020-01-21,12.79,12.79,12.79
2020-01-22,12.8,12.8,12.8
2020-01-23,12.8,12.8,12.8
2020-01-24,12.8,12.8,12.8
2020-01-29,12.8,12.8,12.8
2020-01-30,12.8,12.8,12.8
2020-01-31,12.8,12.8,12.8
2020-02-03,12.8,12.8,12.8
2020-02-04,12.8,12.8,12.8
2020-02-05,12.8,12.8,12.8
2020-02-06,12.8,12.8,12.8
2020-02-07,12.81,12.81,12.81
2020-02-10,12.81,12.81,12.81
2020-02-11,12.81,12.81,12.81
2020-02-12,12.81,12.81,12.81
2020-02-13,12.81,12.81,12.81
2020-02-14,12.81,12.81,12.81
2020-02-17,12.81,12.81,12.81
2020-02-18,12.81,12.81,12.81
2020-02-19,12.81,12.81,12.81
2020-02-20,12.81,12.81,12.81
2020-02-21,12.81,12.81,12.81
2020-02-24,12.81,12.81,12.81
2020-02-25,12.81,12.81,12.81
2020-02-26,12.81,12.81,12.81
2020-02-27,12.81,12.81,12.81
2020-02-28,12.81,12.81,12.81
2020-03-02,12.82,12.82,12.82
2020-03-03,12.82,12.82,12.82
2020-03-04,12.82,12.82,12.82
2020-03-05,12.82,12.82,12.82
2020-03-06,12.82,12.82,12.82
2020-03-09,12.82,12.82,12.82
2020-03-10,12.82,12.82,12.82
2020-03-11,12.82,12.82,12.82
2020-03-12,12.82,12.82,12.82
2020-03-13,12.82,12.82,12.82
2020-03-16,12.82,12.82,12.82
2020-03-17,12.82,12.82,12.82
2020-03-18,12.82,12.82,12.82
2020-03-19,12.82,12.82,12.82
2020-03-20,12.82,12.82,12.82
2020-03-23,12.82,12.82,12.82
2020-03-24,12.82,12.82,12.82
2020-03-25,12.82,12.82,12.82
2020-03-26,12.82,12.82,12.82
2020-03-27,12.82,12.82,12.82
2020-03-30,12.82,12.82,12.82
2020-03-31,12.83,12.83,12.83
2020-04-01,12.83,12.83,12.83
2020-04-02,12.83,12.83,12.83
