date,bid,offer,price
2020-01-02,13.93,13.93,13.93
2020-01-03,13.81,13.81,13.81
2020-01-06,13.79,13.79,13.79
2020-01-07,13.8,13.8,13.8
2020-01-08,13.8,13.8,13.8
2020-01-09,13.83,13.83,13.83
2020-01-10,13.81,13.81,13.81
2020-01-13,13.81,13.81,13.81
2020-01-14,13.84,13.84,13.84
2020-01-15,13.83,13.83,13.83
2020-01-16,13.85,13.85,13.85
2020-01-17,13.92,13.92,13.92
2020-01-20,13.91,13.91,13.91
2020-01-21,13.88,13.88,13.88
2020-01-22,13.86,13.86,13.86
2020-01-23,13.72,13.72,13.72
2020-01-24,13.79,13.79,13.79
2020-01-29,13.66,13.66,13.66
2020-01-30,13.54,13.54,13.54
2020-01-31,13.43,13.43,13.43
2020-02-03,13.43,13.43,13.43
2020-02-04,13.62,13.62,13.62
2020-02-05,13.75,13.75,13.75
2020-02-06,13.8,13.8,13.8
2020-02-07,13.77,13.77,13.77
2020-02-10,13.74,13.74,13.74
2020-02-11,13.83,13.83,13.83
2020-02-12,13.91,13.91,13.91
2020-02-13,13.85,13.85,13.85
2020-02-14,13.87,13.87,13.87
2020-02-17,13.92,13.92,13.92
2020-02-18,13.82,13.82,13.82
2020-02-19,13.87,13.87,13.87
2020-02-20,13.82,13.82,13.82
2020-02-21,13.8,13.8,13.8
2020-02-24,13.27,13.27,13.27
2020-02-25,13.04,13.04,13.04
2020-02-26,13.0,13.0,13.0
2020-02-27,12.68,12.68,12.68
2020-02-28,12.22,12.22,12.22
2020-03-02,12.3,12.3,12.3
2020-03-03,12.54,12.54,12.54
2020-03-04,12.65,12.65,12.65
2020-03-05,12.47,12.47,12.47
2020-03-06,12.13,12.13,12.13
2020-03-09,11.25,11.25,11.25
2020-03-10,11.14,11.14,11.14
2020-03-11,10.95,10.95,10.95
2020-03-12,9.65,9.65,9.65
2020-03-13,9.73,9.73,9.73
2020-03-16,9.08,9.08,9.08
2020-03-17,9.2,9.2,9.2
2020-03-18,8.85,8.85,8.85
2020-03-19,9.01,9.01,9.01
2020-03-20,9.27,9.27,9.27
2020-03-23,8.97,8.97,8.97
2020-03-24,9.69,9.69,9.69
2020-03-25,9.97,9.97,9.97
2020-03-26,10.31,10.31,10.31
2020-03-27,10.04,10.04,10.04
2020-03-30,10.09,10.09,10.09
2020-03-31,10.34,10.34,10.34
2020-04-01,9.97,9.97,9.97
2020-04-02,9.98,9.98,9.98
2020-04-03,9.82,9.82,9.82
2020-04-06,10.17,10.17,10.17
2020-04-07,10.49,10.49,10.49
2020-04-08,10.45,10.45,10.45
2020-04-09,10.66,10.66,10.66
2020-04-14,10.73,10.73,10.73
2020-04-15,10.33,10.33,10.33
2020-04-16,10.3,10.3,10.3
2020-04-17,10.63,10.63,10.63
2020-04-20,10.64,10.64,10.64
2020-04-21,10.32,10.32,10.32
2020-04-22,10.44,10.44,10.44
2020-04-23,10.56,10.56,10.56
2020-04-24,10.46,10.46,10.46
2020-04-27,10.67,10.67,10.67
2020-04-28,10.85,10.85,10.85
2020-04-29,11.09,11.09,11.09
2020-05-04,10.55,10.55,10.55
2020-05-05,10.72,10.72,10.72
2020-05-06,10.68,10.68,10.68
2020-05-07,10.79,10.79,10.79
2020-05-08,10.94,10.94,10.94
2020-05-11,10.87,10.87,10.87
2020-05-12,10.92,10.92,10.92
2020-05-13,10.69,10.69,10.69
2020-05-14,10.46,10.46,10.46
2020-05-15,10.52,10.52,10.52
2020-05-18,10.97,10.97,10.97
2020-05-19,10.96,10.96,10.96
2020-05-20,11.07,11.07,11.07
2020-05-21,10.99,10.99,10.99
2020-05-22,10.95,10.95,10.95
2020-05-25,11.1,11.1,11.1
2020-05-26,11.35,11.35,11.35
2020-05-27,11.4,11.4,11.4
2020-05-28,11.61,11.61,11.61
2020-05-29,11.48,11.48,11.48
2020-06-01,11.65,11.65,11.65
2020-06-02,11.89,11.89,11.89
2020-06-03,12.23,12.23,12.23
2020-06-04,12.28,12.28,12.28
2020-06-05,12.56,12.56,12.56
2020-06-08,12.53,12.53,12.53
2020-06-09,12.37,12.37,12.37
2020-06-10,12.3,12.3,12.3
2020-06-11,11.83,11.83,11.83
2020-06-12,11.75,11.75,11.75
2020-06-15,11.73,11.73,11.73
2020-06-16,12.06,12.06,12.06
2020-06-17,12.12,12.12,12.12
2020-06-18,12.04,12.04,12.04
2020-06-19,12.07,12.07,12.07
2020-06-22,12.05,12.05,12.05
2020-06-23,12.27,12.27,12.27
2020-06-24,11.9,11.9,11.9
2020-06-26,11.91,11.91,11.91
2020-06-29,12.0,12.0,12.0
2020-06-30,12.0,12.0,12.0
2020-07-02,12.23,12.23,12.23
2020-07-03,12.17,12.17,12.17
2020-07-06,12.42,12.42,12.42
2020-07-07,12.33,12.33,12.33
2020-07-08,12.26,12.26,12.26
2020-07-09,12.16,12.16,12.16
2020-07-10,12.26,12.26,12.26
2020-07-13,12.44,12.44,12.44
2020-07-14,12.37,12.37,12.37
2020-07-15,12.62,12.62,12.62
2020-07-16,12.59,12.59,12.59
2020-07-17,12.6,12.6,12.6
2020-07-20,12.71,12.71,12.71
2020-07-21,12.8,12.8,12.8
2020-07-22,12.79,12.79,12.79
2020-07-23,12.79,12.79,12.79
2020-07-24,12.58,12.58,12.58
2020-07-27,12.66,12.66,12.66
2020-07-28,12.65,12.65,12.65
2020-07-29,12.68,12.68,12.68
2020-07-30,12.41,12.41,12.41
2020-07-31,12.31,12.31,12.31
2020-08-03,12.5,12.5,12.5
2020-08-04,12.51,12.51,12.51
2020-08-05,12.67,12.67,12.67
2020-08-06,12.55,12.55,12.55
2020-08-07,12.57,12.57,12.57
2020-08-10,12.6,12.6,12.6
2020-08-11,12.82,12.82,12.82
2020-08-12,12.97,12.97,12.97
2020-08-13,12.96,12.96,12.96
2020-08-14,12.79,12.79,12.79
2020-08-17,12.86,12.86,12.86
2020-08-18,12.85,12.85,12.85
2020-08-19,12.89,12.89,12.89
2020-08-20,12.72,12.72,12.72
2020-08-21,12.66,12.66,12.66
2020-08-24,12.89,12.89,12.89
2020-08-25,12.87,12.87,12.87
2020-08-26,12.96,12.96,12.96
2020-08-27,12.87,12.87,12.87
2020-08-28,12.89,12.89,12.89
2020-08-31,12.88,12.88,12.88
2020-09-01,12.83,12.83,12.83
2020-09-02,12.92,12.92,12.92
2020-09-03,12.77,12.77,12.77
2020-09-04,12.59,12.59,12.59
2020-09-07,12.79,12.79,12.79
2020-09-08,12.64,12.64,12.64
2020-09-09,12.84,12.84,12.84
2020-09-10,12.82,12.82,12.82
2020-09-11,12.82,12.82,12.82
2020-09-14,12.88,12.88,12.88
2020-09-15,12.94,12.94,12.94
2020-09-16,12.99,12.99,12.99
2020-09-17,12.89,12.89,12.89
2020-09-18,12.87,12.87,12.87
2020-09-21,12.37,12.37,12.37
2020-09-22,12.36,12.36,12.36
2020-09-23,12.43,12.43,12.43
2020-09-24,12.28,12.28,12.28
2020-09-25,12.24,12.24,12.24
2020-09-28,12.52,12.52,12.52
2020-09-29,12.53,12.53,12.53
2020-09-30,12.53,12.53,12.53
2020-10-05,12.74,12.74,12.74
2020-10-06,12.75,12.75,12.75
2020-10-07,12.72,12.72,12.72
2020-10-08,12.8,12.8,12.8
2020-10-09,12.9,12.9,12.9
2020-10-12,13.0,13.0,13.0
2020-10-14,12.88,12.88,12.88
2020-10-15,12.57,12.57,12.57
2020-10-16,12.74,12.74,12.74
2020-10-19,12.74,12.74,12.74
2020-10-20,12.75,12.75,12.75
2020-10-21,12.62,12.62,12.62
2020-10-22,12.55,12.55,12.55
2020-10-23,12.63,12.63,12.63
2020-10-27,12.27,12.27,12.27
2020-10-28,11.7,11.7,11.7
2020-10-29,11.78,11.78,11.78
2020-10-30,11.79,11.79,11.79
2020-11-02,11.95,11.95,11.95
2020-11-03,12.27,12.27,12.27
2020-11-04,12.51,12.51,12.51
2020-11-05,12.77,12.77,12.77
2020-11-06,12.77,12.77,12.77
2020-11-09,13.25,13.25,13.25
2020-11-10,13.35,13.35,13.35
2020-11-11,13.42,13.42,13.42
2020-11-12,13.38,13.38,13.38
2020-11-13,13.39,13.39,13.39
2020-11-16,13.56,13.56,13.56
2020-11-17,13.55,13.55,13.55
2020-11-18,13.61,13.61,13.61
2020-11-19,13.49,13.49,13.49
2020-11-20,13.57,13.57,13.57
2020-11-23,13.53,13.53,13.53
2020-11-24,13.67,13.67,13.67
2020-11-25,13.7,13.7,13.7
2020-11-26,13.68,13.68,13.68
2020-11-27,13.79,13.79,13.79
2020-11-30,13.65,13.65,13.65
2020-12-01,13.78,13.78,13.78
2020-12-02,13.84,13.84,13.84
2020-12-03,13.91,13.91,13.91
2020-12-04,13.98,13.98,13.98
2020-12-07,13.94,13.94,13.94
2020-12-08,13.92,13.92,13.92
2020-12-09,13.95,13.95,13.95
