date,bid,offer,price
2020-01-02,12.57,12.57,12.57
2020-01-03,12.6,12.6,12.6
2020-01-06,12.58,12.58,12.58
2020-01-07,12.56,12.56,12.56
2020-01-08,12.52,12.52,12.52
2020-01-09,12.5,12.5,12.5
2020-01-10,12.53,12.53,12.53
2020-01-13,12.52,12.52,12.52
2020-01-14,12.54,12.54,12.54
2020-01-15,12.56,12.56,12.56
2020-01-16,12.55,12.55,12.55
2020-01-17,12.53,12.53,12.53
2020-01-20,12.53,12.53,12.53
2020-01-21,12.56,12.56,12.56
2020-01-22,12.57,12.57,12.57
2020-01-23,12.6,12.6,12.6
2020-01-24,12.62,12.62,12.62
2020-01-29,12.69,12.69,12.69
2020-01-30,12.69,12.69,12.69
2020-01-31,12.74,12.74,12.74
2020-02-03,12.72,12.72,12.72
2020-02-04,12.67,12.67,12.67
2020-02-05,12.62,12.62,12.62
2020-02-06,12.62,12.62,12.62
2020-02-07,12.65,12.65,12.65
2020-02-10,12.65,12.65,12.65
2020-02-11,12.64,12.64,12.64
2020-02-12,12.63,12.63,12.63
2020-02-13,12.62,12.62,12.62
2020-02-14,12.63,12.63,12.63
2020-02-17,12.63,12.63,12.63
2020-02-18,12.65,12.65,12.65
2020-02-19,12.63,12.63,12.63
2020-02-20,12.67,12.67,12.67
2020-02-21,12.72,12.72,12.72
2020-02-24,12.78,12.78,12.78
2020-02-25,12.81,12.81,12.81
2020-02-26,12.79,12.79,12.79
2020-02-27,12.86,12.86,12.86
2020-02-28,12.94,12.94,12.94
2020-03-02,12.97,12.97,12.97
2020-03-03,13.06,13.06,13.06
2020-03-04,13.03,13.03,13.03
2020-03-05,13.13,13.13,13.13
2020-03-06,13.29,13.29,13.29
2020-03-09,13.48,13.48,13.48
2020-03-10,13.26,13.26,13.26
2020-03-11,13.18,13.18,13.18
2020-03-12,13.04,13.04,13.04
2020-03-13,12.86,12.86,12.86
2020-03-16,12.94,12.94,12.94
2020-03-17,12.64,12.64,12.64
2020-03-18,12.43,12.43,12.43
2020-03-19,12.43,12.43,12.43
2020-03-20,12.62,12.62,12.62
2020-03-23,12.67,12.67,12.67
2020-03-24,12.65,12.65,12.65
2020-03-25,12.64,12.64,12.64
2020-03-26,12.8,12.8,12.8
2020-03-27,12.92,12.92,12.92
2020-03-30,12.9,12.9,12.9
2020-03-31,12.89,12.89,12.89
2020-04-01,12.92,12.92,12.92
2020-04-02,12.88,12.88,12.88
2020-04-03,12.86,12.86,12.86
2020-04-06,12.81,12.81,12.81
2020-04-07,12.8,12.8,12.8
2020-04-08,12.79,12.79,12.79
2020-04-09,12.86,12.86,12.86
2020-04-14,12.87,12.87,12.87
2020-04-15,12.89,12.89,12.89
2020-04-16,12.88,12.88,12.88
2020-04-17,12.89,12.89,12.89
2020-04-20,12.9,12.9,12.9
2020-04-21,12.89,12.89,12.89
2020-04-22,12.84,12.84,12.84
2020-04-23,12.88,12.88,12.88
2020-04-24,12.89,12.89,12.89
2020-04-27,12.89,12.89,12.89
2020-04-28,12.92,12.92,12.92
2020-04-29,12.93,12.93,12.93
2020-05-04,12.95,12.95,12.95
2020-05-05,12.92,12.92,12.92
2020-05-06,12.86,12.86,12.86
2020-05-07,12.89,12.89,12.89
2020-05-08,12.93,12.93,12.93
2020-05-11,12.88,12.88,12.88
2020-05-12,12.92,12.92,12.92
2020-05-13,12.93,12.93,12.93
2020-05-14,12.94,12.94,12.94
2020-05-15,12.9,12.9,12.9
2020-05-18,12.89,12.89,12.89
2020-05-19,12.93,12.93,12.93
2020-05-20,12.96,12.96,12.96
2020-05-21,12.97,12.97,12.97
2020-05-22,12.95,12.95,12.95
2020-05-25,12.95,12.95,12.95
2020-05-26,12.95,12.95,12.95
2020-05-27,12.95,12.95,12.95
2020-05-28,12.99,12.99,12.99
2020-05-29,13.04,13.04,13.04
2020-06-01,13.04,13.04,13.04
2020-06-02,13.05,13.05,13.05
2020-06-03,13.02,13.02,13.02
2020-06-04,13.01,13.01,13.01
2020-06-05,12.97,12.97,12.97
2020-06-08,13.0,13.0,13.0
2020-06-09,13.05,13.05,13.05
2020-06-10,13.1,13.1,13.1
2020-06-11,13.17,13.17,13.17
2020-06-12,13.09,13.09,13.09
2020-06-15,13.1,13.1,13.1
2020-06-16,13.07,13.07,13.07
2020-06-17,13.07,13.07,13.07
2020-06-18,13.09,13.09,13.09
