date,bid,offer,price
2020-01-02,16.03,16.03,16.03
2020-01-03,15.88,15.88,15.88
2020-01-06,15.89,15.89,15.89
2020-01-07,15.91,15.91,15.91
2020-01-08,15.93,15.93,15.93
2020-01-09,16.02,16.02,16.02
2020-01-10,16.02,16.02,16.02
2020-01-13,16.1,16.1,16.1
2020-01-14,16.12,16.12,16.12
2020-01-15,16.12,16.12,16.12
2020-01-16,16.2,16.2,16.2
2020-01-17,16.27,16.27,16.27
2020-01-20,16.28,16.28,16.28
2020-01-21,16.22,16.22,16.22
2020-01-22,16.25,16.25,16.25
2020-01-23,16.2,16.2,16.2
2020-01-24,16.14,16.14,16.14
2020-01-29,15.96,15.96,15.96
2020-01-30,15.89,15.89,15.89
2020-01-31,15.68,15.68,15.68
2020-02-03,15.74,15.74,15.74
2020-02-04,15.96,15.96,15.96
2020-02-05,16.12,16.12,16.12
2020-02-06,16.23,16.23,16.23
2020-02-07,16.13,16.13,16.13
2020-02-10,16.18,16.18,16.18
2020-02-11,16.24,16.24,16.24
2020-02-12,16.34,16.34,16.34
2020-02-13,16.3,16.3,16.3
2020-02-14,16.31,16.31,16.31
2020-02-17,16.35,16.35,16.35
2020-02-18,16.21,16.21,16.21
2020-02-19,16.32,16.32,16.32
2020-02-20,16.25,16.25,16.25
2020-02-21,16.12,16.12,16.12
2020-02-24,15.64,15.64,15.64
2020-02-25,15.27,15.27,15.27
2020-02-26,15.19,15.19,15.19
2020-02-27,14.69,14.69,14.69
2020-02-28,14.47,14.47,14.47
2020-03-02,14.85,14.85,14.85
2020-03-03,14.64,14.64,14.64
2020-03-04,15.06,15.06,15.06
2020-03-05,14.72,14.72,14.72
2020-03-06,14.42,14.42,14.42
2020-03-09,13.43,13.43,13.43
2020-03-10,13.79,13.79,13.79
2020-03-11,13.29,13.29,13.29
2020-03-12,12.09,12.09,12.09
2020-03-13,12.69,12.69,12.69
2020-03-16,11.55,11.55,11.55
2020-03-17,11.94,11.94,11.94
2020-03-18,11.37,11.37,11.37
2020-03-19,11.41,11.41,11.41
2020-03-20,11.26,11.26,11.26
2020-03-23,10.89,10.89,10.89
2020-03-24,11.78,11.78,11.78
2020-03-25,12.07,12.07,12.07
2020-03-26,12.61,12.61,12.61
2020-03-27,12.3,12.3,12.3
2020-03-30,12.56,12.56,12.56
2020-03-31,12.51,12.51,12.51
2020-04-01,12.02,12.02,12.02
2020-04-02,12.16,12.16,12.16
2020-04-03,11.99,11.99,11.99
2020-04-06,12.67,12.67,12.67
2020-04-07,12.8,12.8,12.8
2020-04-08,13.06,13.06,13.06
2020-04-09,13.23,13.23,13.23
2020-04-14,13.45,13.45,13.45
2020-04-15,13.15,13.15,13.15
2020-04-16,13.18,13.18,13.18
2020-04-17,13.53,13.53,13.53
2020-04-20,13.37,13.37,13.37
2020-04-21,12.98,12.98,12.98
2020-04-22,13.21,13.21,13.21
2020-04-23,13.26,13.26,13.26
2020-04-24,13.33,13.33,13.33
