date,bid,offer,price
2020-01-02,20.95,20.95,20.95
2020-01-03,20.82,20.82,20.82
2020-01-06,20.76,20.76,20.76
2020-01-07,20.84,20.84,20.84
2020-01-08,20.75,20.75,20.75
2020-01-09,20.98,20.98,20.98
2020-01-10,21.01,21.01,21.01
2020-01-13,21.12,21.12,21.12
2020-01-14,21.15,21.15,21.15
2020-01-15,21.12,21.12,21.12
2020-01-16,21.19,21.19,21.19
2020-01-17,21.24,21.24,21.24
2020-01-20,21.22,21.22,21.22
2020-01-21,20.95,20.95,20.95
2020-01-22,21.08,21.08,21.08
2020-01-23,20.81,20.81,20.81
2020-01-24,20.85,20.85,20.85
2020-01-29,20.49,20.49,20.49
2020-01-30,20.25,20.25,20.25
2020-01-31,20.13,20.13,20.13
2020-02-03,20.06,20.06,20.06
2020-02-04,20.4,20.4,20.4
2020-02-05,20.55,20.55,20.55
2020-02-06,20.76,20.76,20.76
2020-02-07,20.7,20.7,20.7
2020-02-10,20.67,20.67,20.67
2020-02-11,20.77,20.77,20.77
2020-02-12,20.9,20.9,20.9
2020-02-13,20.88,20.88,20.88
2020-02-14,20.88,20.88,20.88
2020-02-17,20.9,20.9,20.9
2020-02-18,20.7,20.7,20.7
2020-02-19,20.83,20.83,20.83
2020-02-20,20.77,20.77,20.77
2020-02-21,20.64,20.64,20.64
2020-02-24,20.1,20.1,20.1
2020-02-25,19.98,19.98,19.98
2020-02-26,19.83,19.83,19.83
2020-02-27,19.56,19.56,19.56
2020-02-28,19.09,19.09,19.09
2020-03-02,19.37,19.37,19.37
2020-03-03,19.36,19.36,19.36
2020-03-04,19.56,19.56,19.56
2020-03-05,19.58,19.58,19.58
2020-03-06,19.22,19.22,19.22
2020-03-09,18.22,18.22,18.22
2020-03-10,18.37,18.37,18.37
2020-03-11,18.02,18.02,18.02
2020-03-12,16.82,16.82,16.82
2020-03-13,16.86,16.86,16.86
2020-03-16,15.93,15.93,15.93
2020-03-17,16.12,16.12,16.12
2020-03-18,15.53,15.53,15.53
2020-03-19,15.32,15.32,15.32
2020-03-20,15.71,15.71,15.71
2020-03-23,15.01,15.01,15.01
2020-03-24,15.93,15.93,15.93
2020-03-25,16.47,16.47,16.47
2020-03-26,16.83,16.83,16.83
2020-03-27,16.76,16.76,16.76
2020-03-30,16.76,16.76,16.76
2020-03-31,16.85,16.85,16.85
2020-04-01,16.5,16.5,16.5
2020-04-02,16.54,16.54,16.54
2020-04-03,16.39,16.39,16.39
2020-04-06,16.91,16.91,16.91
2020-04-07,17.25,17.25,17.25
2020-04-08,17.32,17.32,17.32
2020-04-09,17.55,17.55,17.55
2020-04-14,17.76,17.76,17.76
2020-04-15,17.48,17.48,17.48
2020-04-16,17.43,17.43,17.43
