date,bid,offer,price
2020-01-02,10.23,10.23,10.23
2020-01-03,10.17,10.17,10.17
2020-01-06,10.09,10.09,10.09
2020-01-07,10.11,10.11,10.11
2020-01-08,10.01,10.01,10.01
2020-01-09,10.19,10.19,10.19
2020-01-10,10.18,10.18,10.18
2020-01-13,10.29,10.29,10.29
2020-01-14,10.26,10.26,10.26
2020-01-15,10.2,10.2,10.2
2020-01-16,10.23,10.23,10.23
2020-01-17,10.31,10.31,10.31
2020-01-20,10.23,10.23,10.23
2020-01-21,9.91,9.91,9.91
2020-01-22,10.09,10.09,10.09
2020-01-23,9.89,9.89,9.89
2020-01-24,9.91,9.91,9.91
2020-01-29,9.59,9.59,9.59
2020-01-30,9.32,9.32,9.32
2020-01-31,9.25,9.25,9.25
2020-02-03,9.27,9.27,9.27
2020-02-04,9.42,9.42,9.42
2020-02-05,9.47,9.47,9.47
2020-02-06,9.72,9.72,9.72
2020-02-07,9.66,9.66,9.66
2020-02-10,9.62,9.62,9.62
2020-02-11,9.76,9.76,9.76
2020-02-12,9.82,9.82,9.82
2020-02-13,9.78,9.78,9.78
2020-02-14,9.8,9.8,9.8
2020-02-17,9.89,9.89,9.89
2020-02-18,9.75,9.75,9.75
2020-02-19,9.84,9.84,9.84
2020-02-20,9.85,9.85,9.85
2020-02-21,9.74,9.74,9.74
2020-02-24,9.54,9.54,9.54
2020-02-25,9.55,9.55,9.55
2020-02-26,9.48,9.48,9.48
2020-02-27,9.56,9.56,9.56
2020-02-28,9.3,9.3,9.3
2020-03-02,9.46,9.46,9.46
2020-03-03,9.46,9.46,9.46
2020-03-04,9.49,9.49,9.49
2020-03-05,9.68,9.68,9.68
2020-03-06,9.43,9.43,9.43
2020-03-09,9.01,9.01,9.01
2020-03-10,9.16,9.16,9.16
2020-03-11,9.08,9.08,9.08
2020-03-12,8.77,8.77,8.77
2020-03-13,8.7,8.7,8.7
2020-03-16,8.32,8.32,8.32
2020-03-17,8.31,8.31,8.31
2020-03-18,7.94,7.94,7.94
2020-03-19,7.72,7.72,7.72
2020-03-20,8.22,8.22,8.22
2020-03-23,7.89,7.89,7.89
2020-03-24,8.28,8.28,8.28
2020-03-25,8.59,8.59,8.59
2020-03-26,8.52,8.52,8.52
2020-03-27,8.57,8.57,8.57
2020-03-30,8.48,8.48,8.48
2020-03-31,8.65,8.65,8.65
2020-04-01,8.48,8.48,8.48
2020-04-02,8.59,8.59,8.59
2020-04-03,8.55,8.55,8.55
2020-04-06,8.7,8.7,8.7
2020-04-07,8.87,8.87,8.87
2020-04-08,8.73,8.73,8.73
2020-04-09,8.84,8.84,8.84
2020-04-14,8.87,8.87,8.87
2020-04-15,8.76,8.76,8.76
2020-04-16,8.72,8.72,8.72
2020-04-17,8.84,8.84,8.84
2020-04-20,8.85,8.85,8.85
2020-04-21,8.66,8.66,8.66
2020-04-22,8.71,8.71,8.71
2020-04-23,8.74,8.74,8.74
2020-04-24,8.7,8.7,8.7
2020-04-27,8.9,8.9,8.9
2020-04-28,8.99,8.99,8.99
2020-04-29,9.04,9.04,9.04
2020-05-04,8.65,8.65,8.65
2020-05-05,8.74,8.74,8.74
2020-05-06,8.83,8.83,8.83
2020-05-07,8.79,8.79,8.79
2020-05-08,8.9,8.9,8.9
2020-05-11,9.01,9.01,9.01
2020-05-12,8.87,8.87,8.87
2020-05-13,8.87,8.87,8.87
2020-05-14,8.74,8.74,8.74
2020-05-15,8.73,8.73,8.73
2020-05-18,8.78,8.78,8.78
2020-05-19,8.92,8.92,8.92
2020-05-20,8.93,8.93,8.93
2020-05-21,8.89,8.89,8.89
2020-05-22,8.51,8.51,8.51
2020-05-25,8.57,8.57,8.57
2020-05-26,8.69,8.69,8.69
2020-05-27,8.66,8.66,8.66
2020-05-28,8.65,8.65,8.65
2020-05-29,8.66,8.66,8.66
2020-06-01,8.92,8.92,8.92
2020-06-02,8.97,8.97,8.97
2020-06-03,9.05,9.05,9.05
2020-06-04,9.07,9.07,9.07
2020-06-05,9.16,9.16,9.16
2020-06-08,9.11,9.11,9.11
2020-06-09,9.21,9.21,9.21
2020-06-10,9.23,9.23,9.23
2020-06-11,9.05,9.05,9.05
2020-06-12,8.95,8.95,8.95
2020-06-15,8.79,8.79,8.79
2020-06-16,8.98,8.98,8.98
2020-06-17,9.02,9.02,9.02
2020-06-18,9.04,9.04,9.04
2020-06-19,9.09,9.09,9.09
2020-06-22,9.04,9.04,9.04
2020-06-23,9.14,9.14,9.14
2020-06-24,9.09,9.09,9.09
2020-06-26,9.02,9.02,9.02
2020-06-29,8.94,8.94,8.94
2020-06-30,8.94,8.94,8.94
2020-07-02,9.27,9.27,9.27
2020-07-03,9.44,9.44,9.44
2020-07-06,9.88,9.88,9.88
2020-07-07,9.8,9.8,9.8
2020-07-08,9.94,9.94,9.94
2020-07-09,9.97,9.97,9.97
2020-07-10,9.75,9.75,9.75
2020-07-13,9.78,9.78,9.78
2020-07-14,9.62,9.62,9.62
2020-07-15,9.61,9.61,9.61
2020-07-16,9.38,9.38,9.38
2020-07-17,9.44,9.44,9.44
2020-07-20,9.53,9.53,9.53
2020-07-21,9.66,9.66,9.66
2020-07-22,9.48,9.48,9.48
2020-07-23,9.55,9.55,9.55
2020-07-24,9.33,9.33,9.33
2020-07-27,9.33,9.33,9.33
2020-07-28,9.39,9.39,9.39
2020-07-29,9.42,9.42,9.42
2020-07-30,9.34,9.34,9.34
2020-07-31,9.29,9.29,9.29
2020-08-03,9.28,9.28,9.28
2020-08-04,9.44,9.44,9.44
2020-08-05,9.49,9.49,9.49
2020-08-06,9.44,9.44,9.44
2020-08-07,9.31,9.31,9.31
2020-08-10,9.24,9.24,9.24
2020-08-11,9.39,9.39,9.39
2020-08-12,9.45,9.45,9.45
2020-08-13,9.48,9.48,9.48
2020-08-14,9.5,9.5,9.5
2020-08-17,9.6,9.6,9.6
2020-08-18,9.64,9.64,9.64
2020-08-19,9.54,9.54,9.54
2020-08-20,9.4,9.4,9.4
2020-08-21,9.45,9.45,9.45
2020-08-24,9.56,9.56,9.56
2020-08-25,9.52,9.52,9.52
2020-08-26,9.53,9.53,9.53
2020-08-27,9.46,9.46,9.46
2020-08-28,9.44,9.44,9.44
2020-08-31,9.26,9.26,9.26
2020-09-01,9.29,9.29,9.29
2020-09-02,9.28,9.28,9.28
2020-09-03,9.22,9.22,9.22
2020-09-04,9.17,9.17,9.17
2020-09-07,9.06,9.06,9.06
2020-09-08,9.12,9.12,9.12
2020-09-09,9.03,9.03,9.03
2020-09-10,8.99,8.99,8.99
2020-09-11,9.05,9.05,9.05
2020-09-14,9.1,9.1,9.1
