date,bid,offer,price
2020-01-02,12.46,12.46,12.46
2020-01-03,12.41,12.41,12.41
2020-01-06,12.27,12.27,12.27
2020-01-07,12.33,12.33,12.33
2020-01-08,12.24,12.24,12.24
2020-01-09,12.43,12.43,12.43
2020-01-10,12.51,12.51,12.51
2020-01-13,12.6,12.6,12.6
2020-01-14,12.66,12.66,12.66
2020-01-15,12.61,12.61,12.61
2020-01-16,12.66,12.66,12.66
2020-01-17,12.69,12.69,12.69
2020-01-20,12.72,12.72,12.72
2020-01-21,12.46,12.46,12.46
2020-01-22,12.56,12.56,12.56
2020-01-23,12.42,12.42,12.42
2020-01-24,12.44,12.44,12.44
2020-01-29,12.15,12.15,12.15
2020-01-30,11.83,11.83,11.83
2020-01-31,11.77,11.77,11.77
2020-02-03,11.69,11.69,11.69
2020-02-04,11.91,11.91,11.91
2020-02-05,11.98,11.98,11.98
2020-02-06,12.2,12.2,12.2
2020-02-07,12.16,12.16,12.16
2020-02-10,12.05,12.05,12.05
2020-02-11,12.17,12.17,12.17
2020-02-12,12.29,12.29,12.29
2020-02-13,12.27,12.27,12.27
2020-02-14,12.34,12.34,12.34
2020-02-17,12.34,12.34,12.34
2020-02-18,12.13,12.13,12.13
2020-02-19,12.2,12.2,12.2
2020-02-20,12.15,12.15,12.15
2020-02-21,12.04,12.04,12.04
2020-02-24,11.74,11.74,11.74
2020-02-25,11.75,11.75,11.75
2020-02-26,11.56,11.56,11.56
2020-02-27,11.56,11.56,11.56
2020-02-28,11.21,11.21,11.21
2020-03-02,11.26,11.26,11.26
2020-03-03,11.35,11.35,11.35
2020-03-04,11.38,11.38,11.38
2020-03-05,11.52,11.52,11.52
2020-03-06,11.25,11.25,11.25
2020-03-09,10.66,10.66,10.66
2020-03-10,10.76,10.76,10.76
2020-03-11,10.61,10.61,10.61
2020-03-12,9.99,9.99,9.99
2020-03-13,9.92,9.92,9.92
2020-03-16,9.37,9.37,9.37
2020-03-17,9.31,9.31,9.31
2020-03-18,8.89,8.89,8.89
2020-03-19,8.53,8.53,8.53
2020-03-20,8.97,8.97,8.97
2020-03-23,8.42,8.42,8.42
2020-03-24,8.88,8.88,8.88
2020-03-25,9.31,9.31,9.31
2020-03-26,9.4,9.4,9.4
2020-03-27,9.42,9.42,9.42
2020-03-30,9.39,9.39,9.39
2020-03-31,9.56,9.56,9.56
2020-04-01,9.41,9.41,9.41
2020-04-02,9.44,9.44,9.44
2020-04-03,9.36,9.36,9.36
2020-04-06,9.59,9.59,9.59
2020-04-07,9.86,9.86,9.86
2020-04-08,9.82,9.82,9.82
2020-04-09,10.0,10.0,10.0
2020-04-14,10.15,10.15,10.15
2020-04-15,10.09,10.09,10.09
2020-04-16,10.02,10.02,10.02
2020-04-17,10.24,10.24,10.24
2020-04-20,10.2,10.2,10.2
2020-04-21,9.98,9.98,9.98
2020-04-22,10.01,10.01,10.01
2020-04-23,10.07,10.07,10.07
2020-04-24,9.99,9.99,9.99
2020-04-27,10.19,10.19,10.19
2020-04-28,10.25,10.25,10.25
2020-04-29,10.38,10.38,10.38
2020-05-04,10.1,10.1,10.1
2020-05-05,10.17,10.17,10.17
2020-05-06,10.23,10.23,10.23
2020-05-07,10.21,10.21,10.21
2020-05-08,10.34,10.34,10.34
2020-05-11,10.42,10.42,10.42
2020-05-12,10.35,10.35,10.35
2020-05-13,10.37,10.37,10.37
2020-05-14,10.21,10.21,10.21
2020-05-15,10.23,10.23,10.23
2020-05-18,10.23,10.23,10.23
2020-05-19,10.44,10.44,10.44
2020-05-20,10.49,10.49,10.49
2020-05-21,10.49,10.49,10.49
2020-05-22,10.17,10.17,10.17
