date,bid,offer,price
2020-01-02,14.33,14.33,14.33
2020-01-03,14.29,14.29,14.29
2020-01-06,14.23,14.23,14.23
2020-01-07,14.29,14.29,14.29
2020-01-08,14.21,14.21,14.21
2020-01-09,14.35,14.35,14.35
2020-01-10,14.37,14.37,14.37
2020-01-13,14.41,14.41,14.41
2020-01-14,14.45,14.45,14.45
2020-01-15,14.44,14.44,14.44
2020-01-16,14.46,14.46,14.46
2020-01-17,14.5,14.5,14.5
2020-01-20,14.49,14.49,14.49
2020-01-21,14.35,14.35,14.35
2020-01-22,14.44,14.44,14.44
2020-01-23,14.3,14.3,14.3
2020-01-24,14.34,14.34,14.34
2020-01-29,14.14,14.14,14.14
2020-01-30,14.02,14.02,14.02
2020-01-31,14.02,14.02,14.02
2020-02-03,13.89,13.89,13.89
2020-02-04,14.05,14.05,14.05
2020-02-05,14.12,14.12,14.12
2020-02-06,14.26,14.26,14.26
2020-02-07,14.25,14.25,14.25
2020-02-10,14.22,14.22,14.22
2020-02-11,14.29,14.29,14.29
2020-02-12,14.35,14.35,14.35
2020-02-13,14.35,14.35,14.35
2020-02-14,14.34,14.34,14.34
2020-02-17,14.36,14.36,14.36
2020-02-18,14.26,14.26,14.26
2020-02-19,14.31,14.31,14.31
2020-02-20,14.31,14.31,14.31
2020-02-21,14.26,14.26,14.26
2020-02-24,13.99,13.99,13.99
2020-02-25,14.01,14.01,14.01
2020-02-26,13.82,13.82,13.82
2020-02-27,13.8,13.8,13.8
2020-02-28,13.45,13.45,13.45
2020-03-02,13.46,13.46,13.46
2020-03-03,13.7,13.7,13.7
2020-03-04,13.7,13.7,13.7
2020-03-05,13.8,13.8,13.8
2020-03-06,13.6,13.6,13.6
2020-03-09,13.15,13.15,13.15
2020-03-10,13.16,13.16,13.16
2020-03-11,13.0,13.0,13.0
2020-03-12,12.41,12.41,12.41
2020-03-13,12.26,12.26,12.26
2020-03-16,11.8,11.8,11.8
2020-03-17,11.68,11.68,11.68
2020-03-18,11.42,11.42,11.42
2020-03-19,11.29,11.29,11.29
2020-03-20,11.7,11.7,11.7
2020-03-23,11.2,11.2,11.2
2020-03-24,11.62,11.62,11.62
2020-03-25,11.92,11.92,11.92
2020-03-26,12.08,12.08,12.08
2020-03-27,12.24,12.24,12.24
2020-03-30,12.16,12.16,12.16
2020-03-31,12.29,12.29,12.29
2020-04-01,12.11,12.11,12.11
2020-04-02,12.09,12.09,12.09
2020-04-03,12.04,12.04,12.04
2020-04-06,12.22,12.22,12.22
2020-04-07,12.57,12.57,12.57
2020-04-08,12.45,12.45,12.45
2020-04-09,12.61,12.61,12.61
2020-04-14,12.77,12.77,12.77
2020-04-15,12.66,12.66,12.66
2020-04-16,12.6,12.6,12.6
2020-04-17,12.86,12.86,12.86
2020-04-20,12.79,12.79,12.79
2020-04-21,12.59,12.59,12.59
2020-04-22,12.6,12.6,12.6
2020-04-23,12.69,12.69,12.69
2020-04-24,12.63,12.63,12.63
2020-04-27,12.78,12.78,12.78
2020-04-28,12.92,12.92,12.92
2020-04-29,12.98,12.98,12.98
2020-05-04,12.75,12.75,12.75
2020-05-05,12.83,12.83,12.83
2020-05-06,12.86,12.86,12.86
2020-05-07,12.8,12.8,12.8
2020-05-08,12.94,12.94,12.94
2020-05-11,13.03,13.03,13.03
2020-05-12,13.0,13.0,13.0
2020-05-13,12.93,12.93,12.93
2020-05-14,12.79,12.79,12.79
2020-05-15,12.79,12.79,12.79
2020-05-18,12.95,12.95,12.95
2020-05-19,13.09,13.09,13.09
2020-05-20,13.13,13.13,13.13
2020-05-21,13.13,13.13,13.13
2020-05-22,12.9,12.9,12.9
2020-05-25,12.93,12.93,12.93
2020-05-26,13.18,13.18,13.18
2020-05-27,13.13,13.13,13.13
2020-05-28,13.25,13.25,13.25
2020-05-29,13.3,13.3,13.3
2020-06-01,13.45,13.45,13.45
2020-06-02,13.53,13.53,13.53
2020-06-03,13.65,13.65,13.65
2020-06-04,13.73,13.73,13.73
2020-06-05,13.82,13.82,13.82
2020-06-08,13.88,13.88,13.88
2020-06-09,13.95,13.95,13.95
2020-06-10,13.96,13.96,13.96
2020-06-11,13.78,13.78,13.78
2020-06-12,13.6,13.6,13.6
2020-06-15,13.42,13.42,13.42
2020-06-16,13.69,13.69,13.69
2020-06-17,13.76,13.76,13.76
2020-06-18,13.73,13.73,13.73
2020-06-19,13.8,13.8,13.8
2020-06-22,13.8,13.8,13.8
2020-06-23,13.92,13.92,13.92
2020-06-24,13.84,13.84,13.84
2020-06-26,13.76,13.76,13.76
2020-06-29,13.64,13.64,13.64
2020-06-30,13.73,13.73,13.73
2020-07-02,13.91,13.91,13.91
2020-07-03,14.01,14.01,14.01
2020-07-06,14.22,14.22,14.22
2020-07-07,14.2,14.2,14.2
2020-07-08,14.23,14.23,14.23
2020-07-09,14.29,14.29,14.29
2020-07-10,14.21,14.21,14.21
2020-07-13,14.3,14.3,14.3
2020-07-14,14.18,14.18,14.18
2020-07-15,14.34,14.34,14.34
2020-07-16,14.21,14.21,14.21
2020-07-17,14.23,14.23,14.23
2020-07-20,14.29,14.29,14.29
2020-07-21,14.49,14.49,14.49
2020-07-22,14.39,14.39,14.39
2020-07-23,14.47,14.47,14.47
2020-07-24,14.3,14.3,14.3
2020-07-27,14.32,14.32,14.32
2020-07-28,14.4,14.4,14.4
2020-07-29,14.38,14.38,14.38
2020-07-30,14.35,14.35,14.35
2020-07-31,14.35,14.35,14.35
2020-08-03,14.36,14.36,14.36
2020-08-04,14.52,14.52,14.52
2020-08-05,14.61,14.61,14.61
2020-08-06,14.58,14.58,14.58
2020-08-07,14.51,14.51,14.51
2020-08-10,14.52,14.52,14.52
2020-08-11,14.62,14.62,14.62
2020-08-12,14.61,14.61,14.61
2020-08-13,14.68,14.68,14.68
2020-08-14,14.64,14.64,14.64
2020-08-17,14.71,14.71,14.71
2020-08-18,14.8,14.8,14.8
2020-08-19,14.73,14.73,14.73
2020-08-20,14.63,14.63,14.63
2020-08-21,14.64,14.64,14.64
2020-08-24,14.81,14.81,14.81
2020-08-25,14.85,14.85,14.85
2020-08-26,14.88,14.88,14.88
2020-08-27,14.9,14.9,14.9
2020-08-28,14.94,14.94,14.94
2020-08-31,14.91,14.91,14.91
2020-09-01,14.93,14.93,14.93
2020-09-02,14.95,14.95,14.95
2020-09-03,15.0,15.0,15.0
2020-09-04,14.75,14.75,14.75
2020-09-07,14.71,14.71,14.71
2020-09-08,14.67,14.67,14.67
2020-09-09,14.61,14.61,14.61
2020-09-10,14.6,14.6,14.6
2020-09-11,14.65,14.65,14.65
2020-09-14,14.77,14.77,14.77
2020-09-15,14.79,14.79,14.79
2020-09-16,14.89,14.89,14.89
2020-09-17,14.74,14.74,14.74
2020-09-18,14.79,14.79,14.79
2020-09-21,14.53,14.53,14.53
2020-09-22,14.47,14.47,14.47
2020-09-23,14.59,14.59,14.59
2020-09-24,14.35,14.35,14.35
2020-09-25,14.33,14.33,14.33
2020-09-28,14.5,14.5,14.5
2020-09-29,14.52,14.52,14.52
2020-09-30,14.56,14.56,14.56
2020-10-05,14.67,14.67,14.67
2020-10-06,14.77,14.77,14.77
2020-10-07,14.77,14.77,14.77
2020-10-08,14.85,14.85,14.85
2020-10-09,14.91,14.91,14.91
2020-10-12,15.01,15.01,15.01
2020-10-14,15.05,15.05,15.05
2020-10-15,14.82,14.82,14.82
2020-10-16,14.89,14.89,14.89
2020-10-19,14.92,14.92,14.92
2020-10-20,14.89,14.89,14.89
2020-10-21,14.97,14.97,14.97
2020-10-22,14.89,14.89,14.89
2020-10-23,14.9,14.9,14.9
2020-10-27,14.83,14.83,14.83
2020-10-28,14.72,14.72,14.72
2020-10-29,14.6,14.6,14.6
2020-10-30,14.49,14.49,14.49
2020-11-02,14.62,14.62,14.62
2020-11-03,14.81,14.81,14.81
2020-11-04,14.86,14.86,14.86
2020-11-05,15.26,15.26,15.26
2020-11-06,15.27,15.27,15.27
2020-11-09,15.51,15.51,15.51
2020-11-10,15.42,15.42,15.42
2020-11-11,15.37,15.37,15.37
2020-11-12,15.43,15.43,15.43
2020-11-13,15.44,15.44,15.44
2020-11-16,15.61,15.61,15.61
2020-11-17,15.62,15.62,15.62
2020-11-18,15.65,15.65,15.65
2020-11-19,15.55,15.55,15.55
2020-11-20,15.65,15.65,15.65
2020-11-23,15.64,15.64,15.64
2020-11-24,15.72,15.72,15.72
2020-11-25,15.74,15.74,15.74
2020-11-26,15.77,15.77,15.77
2020-11-27,15.85,15.85,15.85
2020-11-30,15.71,15.71,15.71
2020-12-01,15.79,15.79,15.79
2020-12-02,15.76,15.76,15.76
2020-12-03,15.89,15.89,15.89
2020-12-04,15.91,15.91,15.91
2020-12-07,15.9,15.9,15.9
2020-12-08,15.88,15.88,15.88
2020-12-09,15.91,15.91,15.91
2020-12-10,15.9,15.9,15.9
2020-12-11,15.9,15.9,15.9
2020-12-14,15.87,15.87,15.87
2020-12-15,15.87,15.87,15.87
2020-12-16,15.97,15.97,15.97
2020-12-17,16.05,16.05,16.05
2020-12-18,16.02,16.02,16.02
2020-12-21,15.89,15.89,15.89
2020-12-22,15.84,15.84,15.84
2020-12-23,15.98,15.98,15.98
2020-12-24,15.94,15.94,15.94
2020-12-28,15.88,15.88,15.88
2020-12-29,16.11,16.11,16.11
2020-12-30,16.23,16.23,16.23
2020-12-31,16.25,16.25,16.25
2021-01-04,16.3,16.3,16.3
2021-01-05,16.3,16.3,16.3
2021-01-06,16.31,16.31,16.31
2021-01-07,16.36,16.36,16.36
2021-01-08,16.53,16.53,16.53
2021-01-11,16.5,16.5,16.5
2021-01-12,16.52,16.52,16.52
2021-01-13,16.53,16.53,16.53
2021-01-14,16.63,16.63,16.63
2021-01-15,16.54,16.54,16.54
2021-01-18,16.56,16.56,16.56
2021-01-19,16.7,16.7,16.7
2021-01-20,16.8,16.8,16.8
2021-01-21,16.92,16.92,16.92
2021-01-22,16.79,16.79,16.79
2021-01-25,16.95,16.95,16.95
2021-01-26,16.84,16.84,16.84
2021-01-27,16.73,16.73,16.73
2021-01-28,16.48,16.48,16.48
2021-01-29,16.41,16.41,16.41
2021-02-01,16.48,16.48,16.48
2021-02-02,16.63,16.63,16.63
2021-02-03,16.77,16.77,16.77
2021-02-04,16.75,16.75,16.75
2021-02-05,16.82,16.82,16.82
2021-02-08,16.9,16.9,16.9
2021-02-09,16.95,16.95,16.95
2021-02-10,17.08,17.08,17.08
2021-02-11,17.1,17.1,17.1
2021-02-16,17.24,17.24,17.24
2021-02-17,17.27,17.27,17.27
2021-02-18,17.11,17.11,17.11
2021-02-19,17.11,17.11,17.11
2021-02-22,16.97,16.97,16.97
2021-02-23,16.97,16.97,16.97
2021-02-24,16.78,16.78,16.78
2021-02-25,16.9,16.9,16.9
2021-02-26,16.56,16.56,16.56
2021-03-01,16.64,16.64,16.64
2021-03-02,16.69,16.69,16.69
2021-03-03,16.8,16.8,16.8
2021-03-04,16.56,16.56,16.56
2021-03-05,16.44,16.44,16.44
2021-03-08,16.33,16.33,16.33
2021-03-09,16.44,16.44,16.44
2021-03-10,16.51,16.51,16.51
2021-03-11,16.67,16.67,16.67
2021-03-12,16.6,16.6,16.6
2021-03-15,16.58,16.58,16.58
2021-03-16,16.7,16.7,16.7
2021-03-17,16.65,16.65,16.65
2021-03-18,16.74,16.74,16.74
2021-03-19,16.62,16.62,16.62
2021-03-22,16.62,16.62,16.62
2021-03-23,16.58,16.58,16.58
2021-03-24,16.42,16.42,16.42
2021-03-25,16.37,16.37,16.37
2021-03-26,16.5,16.5,16.5
2021-03-29,16.52,16.52,16.52
2021-03-30,16.57,16.57,16.57
2021-03-31,16.56,16.56,16.56
2021-04-01,16.7,16.7,16.7
2021-04-07,16.79,16.79,16.79
2021-04-08,16.83,16.83,16.83
2021-04-09,16.81,16.81,16.81
2021-04-12,16.76,16.76,16.76
2021-04-13,16.74,16.74,16.74
2021-04-14,16.84,16.84,16.84
2021-04-15,16.87,16.87,16.87
2021-04-16,16.96,16.96,16.96
2021-04-19,17.04,17.04,17.04
2021-04-20,16.92,16.92,16.92
2021-04-21,16.79,16.79,16.79
2021-04-22,16.87,16.87,16.87
2021-04-23,16.91,16.91,16.91
2021-04-26,16.98,16.98,16.98
2021-04-27,16.97,16.97,16.97
