date,bid,offer,price
2020-01-02,14.96,14.96,14.96
2020-01-03,14.76,14.76,14.76
2020-01-06,14.78,14.78,14.78
2020-01-07,14.89,14.89,14.89
2020-01-08,14.81,14.81,14.81
2020-01-09,14.92,14.92,14.92
2020-01-10,14.85,14.85,14.85
2020-01-13,14.84,14.84,14.84
2020-01-14,14.9,14.9,14.9
2020-01-15,14.91,14.91,14.91
2020-01-16,14.95,14.95,14.95
2020-01-17,15.08,15.08,15.08
2020-01-20,15.01,15.01,15.01
2020-01-21,14.93,14.93,14.93
2020-01-22,15.03,15.03,15.03
2020-01-23,14.92,14.92,14.92
2020-01-24,14.96,14.96,14.96
2020-01-29,14.73,14.73,14.73
2020-01-30,14.67,14.67,14.67
2020-01-31,14.59,14.59,14.59
2020-02-03,14.43,14.43,14.43
2020-02-04,14.7,14.7,14.7
2020-02-05,14.82,14.82,14.82
2020-02-06,14.89,14.89,14.89
2020-02-07,14.84,14.84,14.84
2020-02-10,14.86,14.86,14.86
2020-02-11,14.94,14.94,14.94
2020-02-12,15.03,15.03,15.03
2020-02-13,14.95,14.95,14.95
2020-02-14,14.96,14.96,14.96
2020-02-17,15.01,15.01,15.01
2020-02-18,14.89,14.89,14.89
2020-02-19,14.94,14.94,14.94
2020-02-20,14.96,14.96,14.96
2020-02-21,14.92,14.92,14.92
2020-02-24,14.37,14.37,14.37
2020-02-25,14.29,14.29,14.29
2020-02-26,13.98,13.98,13.98
2020-02-27,13.85,13.85,13.85
2020-02-28,13.17,13.17,13.17
2020-03-02,13.08,13.08,13.08
2020-03-03,13.66,13.66,13.66
2020-03-04,13.78,13.78,13.78
2020-03-05,13.57,13.57,13.57
2020-03-06,13.2,13.2,13.2
2020-03-09,12.34,12.34,12.34
2020-03-10,12.46,12.46,12.46
2020-03-11,12.1,12.1,12.1
2020-03-12,11.09,11.09,11.09
2020-03-13,11.13,11.13,11.13
2020-03-16,9.7,9.7,9.7
2020-03-17,9.85,9.85,9.85
2020-03-18,9.78,9.78,9.78
2020-03-19,9.81,9.81,9.81
2020-03-20,10.35,10.35,10.35
2020-03-23,9.78,9.78,9.78
2020-03-24,10.43,10.43,10.43
2020-03-25,10.72,10.72,10.72
2020-03-26,11.03,11.03,11.03
2020-03-27,11.06,11.06,11.06
2020-03-30,11.0,11.0,11.0
2020-03-31,11.25,11.25,11.25
2020-04-01,10.97,10.97,10.97
2020-04-02,11.0,11.0,11.0
2020-04-03,10.82,10.82,10.82
2020-04-06,11.08,11.08,11.08
2020-04-07,11.58,11.58,11.58
2020-04-08,11.38,11.38,11.38
2020-04-09,11.49,11.49,11.49
2020-04-14,11.8,11.8,11.8
2020-04-15,11.5,11.5,11.5
2020-04-16,11.39,11.39,11.39
2020-04-17,11.77,11.77,11.77
2020-04-20,11.64,11.64,11.64
2020-04-21,11.45,11.45,11.45
2020-04-22,11.47,11.47,11.47
