date,bid,offer,price
2020-01-02,24.87,24.87,24.87
2020-01-03,25.0,25.0,25.0
2020-01-06,24.81,24.81,24.81
2020-01-07,24.88,24.88,24.88
2020-01-08,24.88,24.88,24.88
2020-01-09,25.05,25.05,25.05
2020-01-10,25.11,25.11,25.11
2020-01-13,25.11,25.11,25.11
2020-01-14,25.27,25.27,25.27
2020-01-15,25.23,25.23,25.23
2020-01-16,25.32,25.32,25.32
2020-01-17,25.46,25.46,25.46
2020-01-20,25.55,25.55,25.55
2020-01-21,25.52,25.52,25.52
2020-01-22,25.6,25.6,25.6
2020-01-23,25.5,25.5,25.5
2020-01-24,25.48,25.48,25.48
2020-01-29,25.16,25.16,25.16
2020-01-30,25.17,25.17,25.17
2020-01-31,25.24,25.24,25.24
2020-02-03,24.73,24.73,24.73
2020-02-04,25.02,25.02,25.02
2020-02-05,25.24,25.24,25.24
2020-02-06,25.56,25.56,25.56
2020-02-07,25.66,25.66,25.66
2020-02-10,25.55,25.55,25.55
2020-02-11,25.79,25.79,25.79
2020-02-12,25.82,25.82,25.82
2020-02-13,26.05,26.05,26.05
2020-02-14,25.92,25.92,25.92
2020-02-17,25.97,25.97,25.97
2020-02-18,25.92,25.92,25.92
2020-02-19,25.85,25.85,25.85
2020-02-20,26.08,26.08,26.08
2020-02-21,25.94,25.94,25.94
2020-02-24,25.05,25.05,25.05
2020-02-25,24.86,24.86,24.86
2020-02-26,24.07,24.07,24.07
2020-02-27,23.89,23.89,23.89
2020-02-28,22.74,22.74,22.74
2020-03-02,22.47,22.47,22.47
2020-03-03,23.73,23.73,23.73
2020-03-04,23.54,23.54,23.54
2020-03-05,23.54,23.54,23.54
2020-03-06,22.7,22.7,22.7
2020-03-09,21.41,21.41,21.41
2020-03-10,21.82,21.82,21.82
2020-03-11,21.45,21.45,21.45
2020-03-12,19.63,19.63,19.63
2020-03-13,19.98,19.98,19.98
2020-03-16,19.07,19.07,19.07
2020-03-17,18.36,18.36,18.36
2020-03-18,17.96,17.96,17.96
2020-03-19,18.19,18.19,18.19
2020-03-20,18.74,18.74,18.74
2020-03-23,17.14,17.14,17.14
2020-03-24,18.18,18.18,18.18
2020-03-25,18.52,18.52,18.52
2020-03-26,19.08,19.08,19.08
2020-03-27,19.7,19.7,19.7
2020-03-30,19.64,19.64,19.64
2020-03-31,20.2,20.2,20.2
2020-04-01,19.28,19.28,19.28
2020-04-02,19.29,19.29,19.29
2020-04-03,19.37,19.37,19.37
2020-04-06,19.87,19.87,19.87
2020-04-07,21.16,21.16,21.16
2020-04-08,20.57,20.57,20.57
2020-04-09,21.2,21.2,21.2
2020-04-14,21.62,21.62,21.62
2020-04-15,21.44,21.44,21.44
2020-04-16,21.33,21.33,21.33
2020-04-17,22.25,22.25,22.25
2020-04-20,21.73,21.73,21.73
2020-04-21,21.25,21.25,21.25
2020-04-22,21.29,21.29,21.29
2020-04-23,21.59,21.59,21.59
